"","STB_a6_1","STB_a6_2","STB_b5_1","STB_b5_2","STB_d4_1","STB_d4_2","STB_wt_1","STB_wt_2"
"ACACA",21.5030115237039,20.4176810264201,24.4354063608078,25.8321397038291,21.3697550332107,20.1605622237346,16.9665538126252,15.8192447892538
"HMGB1P24",0.440836227137437,0.380749296529979,0.571588452884393,0.791356577360193,0.440613505839396,0.219136545910158,0.44648825822698,0.737923955183849
"TADA2A",5.04512571057289,5.85402043414843,7.24012040320231,5.59602151133279,6.33381914644131,7.58212448849147,8.53288671278229,10.2386948781759
"AC243654.2",0.0979636060305416,0,0.0476323710736994,0.0565254698114423,0.165230064689773,0.0438273091820316,0.0496098064696645,0.0461202471989906
"DUSP14",66.0764522676003,59.4920775828093,80.4510747434782,84.6751537775406,48.5225623305635,54.5649999316294,49.3617574373161,58.803315178713
"SYNRG",12.9801777990468,11.4700725579656,12.5749459634566,13.2834854056889,14.0445554986307,13.4111566097017,13.4938673597487,13.0520299573143
"DDX52",29.2911182031319,23.273300750395,28.4841579020722,28.6018877245898,27.0426539208929,32.3445541763394,34.2307664640685,37.6802419615753
"TBC1D3L",1.27352687839704,1.28502887578868,1.52423587435838,1.18703486604029,1.43199389397804,1.53395582137111,1.38907458115061,1.61420865196467
"AC233968.1",0.244909015076354,0.19037464826499,0.0952647421473988,0.452203758491539,0.165230064689773,0.394445782638285,0.0992196129393289,0.138360741596972
"AC244154.1",3.47770801408423,2.42727676537862,3.52479545945375,3.27847724906366,2.4784509703466,3.24322087947034,2.77814916230121,2.39825285434751
"MRPL45",91.7429170476022,94.0926699049712,99.980346883695,109.71593690401,90.2156153206163,96.1571163453774,78.4827138350092,90.2573237684245
"SOCS7",14.106759268398,13.8973493233442,14.7660350328468,17.6924720509815,13.7691720574811,11.8772007883306,13.8411360050364,13.0520299573143
"ARHGAP23",0.58778163618325,0.523530282728722,0.619220823958092,0.508729228302981,0.605843570529169,1.09568272955079,0.744147097044967,0.83016444958183
"AC244153.1",0.342872621106896,0.475936620662474,0.381058968589595,0.565254698114423,1.32184051751819,1.6654377489172,1.68673341996859,2.12153137115357
"SRCIN1",1.71436310553448,1.71337183438491,1.19080927684248,1.80881503396615,1.48707058220796,1.49012851218908,0.942586322923625,0.368961977591925
"EPOP",0.293890818091625,0.571123944794969,0.238161855368497,0.565254698114423,0.550766882299245,0.832718874458601,1.09141574233262,0.645683460785868
"AC006449.6",3.82058063519112,2.8080260619086,3.57242783052745,3.05237536981789,3.57998473494509,2.19136545910158,2.82775896877087,2.85945532633741
"MLLT6",32.9647534292773,30.7930993568621,35.009792739169,33.2935017189395,31.3937122910569,31.6871445386089,39.5390157563226,41.8771844566834
"CISD3",3.86956243820639,3.33155634463732,4.57270762307514,3.78720647736664,4.62644181131366,5.87285943039224,4.86176103402712,4.15082224790915
"PCGF2",2.351126544733,1.9037464826499,1.61950061650578,2.99584990000644,2.86398778795607,2.36667469582971,2.97658838817987,2.76721483193943
"AC006449.5",0.195927212061083,0.142780986198742,0.523956081810693,0.113050939622885,0.110153376459849,0.131481927546095,0.396878451757316,0.322841730392934
"PSMB3",81.5547020204259,88.095868484624,101.266420902685,99.54135233795,100.680186084302,98.2169998769329,101.204005198116,97.728803814661
"PIP4K2B",2.05723572664137,1.28502887578868,1.90529484294798,2.26101879245769,1.87260739981743,2.05988353155549,3.52229625934618,3.09005656233237
"CWC25",27.9196277187044,21.1315859574139,27.2933486252297,26.962649100058,24.784509703466,23.1408192481127,25.4994405254075,27.9488698025883
"C17orf98",0.244909015076354,0.142780986198742,0.0952647421473988,0.339152818868654,0.220306752919698,0.131481927546095,0.347268645287651,0.368961977591925
"RPL23",327.541316763116,345.244424628559,376.248099111151,407.718213749934,373.530099575348,353.686385098995,318.792616374064,300.288929512628
"AC110749.1",0.489818030152708,0.523530282728722,0.76211793717919,0.452203758491539,0.99138038813864,0.306791164274222,1.04180593586295,0.645683460785868
"LASP1",10.8249784663748,10.0422626959782,13.8133876113728,10.8528902037969,13.4387119281016,12.5346104260611,17.7603107161399,17.0183712164275
"AC006441.1",0.0489818030152708,0.142780986198742,0.142897113221098,0.169576409434327,0,0.394445782638285,0.198439225878658,0
"LINC00672",0.244909015076354,0,0.238161855368497,0.0565254698114423,0.220306752919698,0.0876546183640633,0,0.230601235994953
