"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Day18Rep1","Day18Rep2","Day0_Rep_1","Day0Rep1","Day0Rep2"
"CCDC191",1240.89804296125,0.631577012505527,0.219793985670772,2.87349542608305,0.00405956956321606,0.0174446172775305,56.2701936784085,72.7990181957703,51.3557319342069,48.5346600727879,47.3629444112844
"CCDC22",815.704197391499,-1.11630552464906,0.219875317237658,-5.07699335547732,3.8345427664779e-07,5.0100034809252e-06,22.0882998275813,17.3294155960176,52.4497371793057,51.779710019515,46.211055920595
"CCDC24",1526.38666750157,1.13723636846346,0.575766547626011,1.97516922987709,0.0482489465355272,0.127142671715761,148.321434136338,38.7590947035929,50.0116683473713,49.5222839696179,49.7344795391741
"CCDC25",862.75799836551,-0.239254386527924,0.176072107049991,-1.35884320655056,0.174196278720876,0.325324319528581,32.8326085672419,31.0614301866119,46.4483369776211,45.7128775104165,40.7904041997041
"CCDC27",537.335397069849,-0.802331376220507,0.269476445088838,-2.97737108694603,0.00290731880822227,0.0131898814628885,18.0904175058472,12.4555174596376,30.8509479117847,32.121291501661,30.7621985160559
"CCDC28A",1733.96971383324,0.288263068709711,0.187896923750851,1.53415533876406,0.124991441920387,0.259679108358847,89.2527228327155,70.4781143213037,78.7683776471098,77.4109016277218,74.3306867227167
"CCDC28B",1254.50813907179,-0.257513099991041,0.165189983253247,-1.5588905266505,0.119022292898366,0.250580807560836,46.3754349321165,45.6444428645106,61.5143520672667,62.7376323033905,70.0619234925151
"CCDC3",836.968374056407,0.405270865755903,0.409809773453406,0.988924354684726,0.322700153626839,0.495279254492429,25.9862350912722,54.154423737555,33.3827886218703,34.7079255171681,39.1642086834368
"CCDC30",2363.65860061376,0.20330997465476,0.155910359650263,1.30401838024634,0.192227315577023,0.348739577580615,98.4978257017258,111.712839824328,106.149766067296,105.957935217046,110.513536959664
"CCDC32",758.894612029252,0.577069937030909,0.361645245949949,1.59567958792074,0.110560348186579,0.237205542596867,27.2355733168141,50.0928419572383,31.3823218879755,30.3341625454924,30.0846170509446
"CCDC33",892.233059190293,1.03964365599231,0.715690835579569,1.45264352190621,0.146322755594601,0.288078039306381,15.7416616418283,89.2774357044835,30.7884333263505,29.2524792299167,30.7621985160559
"CCDC34",858.467638047289,1.21514471291287,0.669945452930157,1.81379649283111,0.0697090626698152,0.167987128870645,18.4902057380206,87.7301664548391,26.9125290294292,24.8316865488682,29.5425518788555
"CCDC36",752.206212881663,0.113184333195448,0.247778717016601,0.45679602573721,0.647817662624375,0.775006883876782,27.9851762521392,36.4768725603674,32.6326135966598,34.5668363890495,38.2833527787921
"CCDC38",1314.58253983962,0.165242656421811,0.218770005779216,0.755325922460207,0.450053448548342,0.619315252948727,50.5232378409157,64.5984911726549,60.732919749339,64.1014938752034,56.6458104833101
"CCDC39",1729.69823451321,0.667186590156967,0.147380750112128,4.52695884401029,5.98385882340351e-06,5.96629548906088e-05,96.448911011837,86.0281702802302,68.7660439776355,68.804464812489,65.047820650691
"CCDC40",1163.60161578564,-0.771081302207799,0.322901952110125,-2.38797349216652,0.0169415636847591,0.0560272412686575,24.7868703947519,42.0083601278462,65.7966011695104,64.3836721314405,71.6881190087823
"CCDC42",924.803952578776,-0.00242347301353149,0.22514674987665,-0.0107639706762777,0.991411759828088,0.99545839849845,33.3323438574587,42.279132246534,43.1663212423248,42.9851543667908,47.8372514368623
"CCDC43",961.973378261039,0.105372014697719,0.15215205809023,0.692544129999421,0.488595682508883,0.650844675317797,40.2286908624502,42.0857235903284,44.5728994145947,45.5247586729251,45.0591674299057
"CCDC47",749.976193723949,-0.913009977931326,0.177434396465093,-5.14561999319531,2.66638697484978e-07,3.612963680477e-06,19.6895704345408,20.5013175577887,47.1047401246803,42.6559464011808,43.8395207927053
