name	length	AN_naive_hTSC	BT5_hTSC_1	BT5_hTSC_2	H9_naive_hTSC
AC004808.2	773	0	0	0	0
AC004812.1	146	0	0	0	0
AC004812.2	2094	50	65	59	62
AC004815.1	331	0	0	0	0
AC004816.1	716	381	329	263	225
AC004816.2	284	0	3	0	1
AC004817.1	721	1	0	0	0
AC004817.2	651	2	0	1	0
AC004817.3	2129	8	3	14	0
AC004817.4	3625	0	0	0	0
AC004824.1	311	0	0	0	0
AC004825.1	586	0	0	0	0
AC004825.2	455	3	0	0	0
AC004828.1	654	0	0	0	0
AC004830.1	911	155	14	8	114
AC004832.1	2422	3	0	0	0
AC004832.2	482	0	0	0	0
AC004832.3	1480	0	0	0	0
AC004832.4	331	12	5	5	16
AC004832.5	401	22	8	3	16
AC004832.6	704	28	43	69	24
AC004834.1	4408	7	1	5	7
AC004835.1	2907	0	0	0	0
AC004835.2	682	0	0	0	0
AC004836.1	634	0	2	2	0
AC004837.1	564	0	0	0	0
AC004837.2	731	114	80	73	60
AC004837.3	565	0	0	0	0
AC004839.1	501	1	4	1	2
AC004840.1	748	0	0	0	1
AC004840.2	285	0	0	0	0
AC004846.1	3050	70	13	11	81
AC004846.2	777	16	16	15	19
AC004847.1	1911	0	0	0	0
AC004852.1	154	0	0	0	0
AC004852.2	3362	0	0	0	0
AC004852.3	326	0	0	0	0
AC004853.1	698	0	0	0	0
AC004853.2	916	0	0	0	0
AC004854.1	349	0	0	0	2
AC004854.2	1441	4	8	1	6
AC004858.1	242	6	3	4	11
AC004862.1	3819	2	2	0	0
AC004865.1	1003	2	9	0	9
AC004865.2	1030	21	11	8	15
AC004866.1	78	0	0	0	0
AC004866.2	481	0	0	0	0
AC004869.1	540	0	0	0	0
AC004869.2	229	0	0	0	0
AC004870.1	882	0	0	0	0
AC004870.2	1537	0	0	0	0
AC004870.3	530	0	0	0	0
AC004870.4	661	0	0	0	1
AC004872.1	469	0	0	0	0
AC004875.1	378	0	1	0	0
AC004877.1	4093	1	0	0	0
AC004877.2	599	16	2	0	6
AC004882.1	773	0	0	1	0
AC004882.2	244	0	0	0	0
AC004884.1	319	13	9	11	13
AC004884.2	546	5	5	2	9
AC004888.1	547	0	1	0	0
AC004889.1	2249	0	2	1	2
AC004890.1	181	6	8	13	5
AC004890.2	4271	12	12	1	6
AC004890.3	1095	5	0	3	9
AC004893.1	1393	18	5	4	2
AC004893.2	4194	234	60	60	82
AC004895.1	820	1	1	2	5
AC004898.1	766	1	7	2	6
AC004899.1	1714	0	0	0	0
AC004899.2	3860	0	0	0	0
AC004906.1	969	0	1	1	0
AC004908.1	541	10	8	7	11
AC004908.2	574	22	27	23	22
AC004908.3	625	5	4	3	1
AC004910.1	787	4	0	1	2
AC004911.1	871	0	0	0	0
AC004917.1	2082	0	1	1	0
AC004918.1	770	15	16	6	17
AC004918.3	925	0	4	0	5
AC004920.1	482	0	0	7	4
AC004921.1	733	0	0	0	0
AC004922.1	2705	9	16	13	14
AC004923.1	776	7	3	2	2
AC004923.2	369	1	0	0	0
AC004923.3	355	0	0	0	0
AC004923.4	739	2	9	8	13
AC004924.1	781	4	3	1	2
AC004925.1	2706	39	83	46	52
AC004930.1	254	0	0	0	0
AC004936.1	361	0	0	0	0
AC004938.1	308	0	0	0	2
AC004941.1	3120	0	0	0	2
AC004941.2	228	0	0	2	1
AC004943.1	1697	67	50	20	83
AC004943.2	4842	172	59	29	197
AC004943.3	600	0	4	0	3
AC004944.1	3059	0	0	0	0
AC004945.1	983	0	0	0	1
AC004946.1	751	0	0	0	0
AC004947.1	2781	0	0	0	0
AC004947.2	2671	0	0	0	0
AC004948.1	672	0	3	2	0
AC004951.1	1866	17	22	16	23
AC004951.2	789	13	21	21	12
AC004951.3	1148	0	1	0	0
AC004951.4	2076	4	8	7	11
AC004965.1	213	0	0	0	0
AC004967.1	447	74	59	51	56
