"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","AN_naive_TSC","H9_naive_TSC","AN_EVT","H9_EVT"
"NBPF26",95.8676956692614,-2.00713118088459,0.625580265152698,-3.20843110419199,0.00133461280820935,0.00926288951626312,1.31029571408823,2.2460883177219,4.11300269247439,8.7888395799478
"NBR1",1392.20233415117,-1.31853739295103,0.375897881746966,-3.50770104588831,0.000451996676668144,0.00369080183455862,42.7483976721286,31.7319711269648,95.3936192652298,66.5554851826956
"NCALD",408.158630852646,-1.23733203481349,0.344138901603745,-3.59544366837726,0.000323839199531587,0.00276375744333064,11.5879277214678,11.0870742491805,21.8736961372502,25.5275840526666
"NCK2",944.389177882784,1.83965000574404,0.394018733370162,4.6689404587669,3.02757100050195e-06,4.3628241184462e-05,72.4757316855054,65.3277176665073,11.4042347382244,23.2105263452258
"NCKAP5L",199.544452058961,-2.44627641568681,0.628731462345417,-3.89081279082366,9.9908995251382e-05,0.00100327775470999,3.6442599548079,2.15051009143587,6.26298137263145,22.4514901996848
"NCOA1",1233.80532732196,-1.89116549720305,0.497156849650967,-3.80396146312932,0.000142400342833464,0.00135588573417584,26.8201153977435,22.1263593852179,39.3539575802663,125.720355264071
"NCSTN",6559.35362386362,-1.14511103572335,0.32666374919736,-3.50547325357337,0.000455796295083923,0.0037195639263053,172.754300554321,207.35696192756,296.369887192956,456.74001326156
"NDRG1",466.55949656915,-1.73409026440266,0.492932566869751,-3.5179056547523,0.000434966976189827,0.00356476295208474,12.6525429891645,7.55067987659704,17.573738776936,42.9854154001083
"NEB",121.240943432466,-1.77939104135829,0.495648104877858,-3.59002894159513,0.000330641248040089,0.00281464656326512,2.62059142817647,2.485033883437,6.21624270567152,9.42802791303491
"NECTIN1",1101.13208147863,2.72709779057191,0.413018776576811,6.60284215931946,4.03348930677604e-11,1.34945866682562e-09,94.7507588250054,83.8698935659988,7.4781867135898,16.8186430143547
"NECTIN2",435.969895919742,3.23066906288077,0.411695766284517,7.84722440076808,4.25345783161656e-15,2.47031992506354e-13,46.1060304394797,27.7176856229512,3.2249680202356,3.71528218606884
"NEDD4L",2377.47539988056,2.67513953833776,0.362926964838561,7.37101344764429,1.69335760282759e-13,8.29127211661859e-12,154.28732033389,227.476178560772,28.5105868455611,24.2492073864923
"NENF",221.794483015211,1.59577163218187,0.465483706409589,3.42820083755566,0.000607595785258218,0.00477533980962171,17.1566845063428,14.0022101509046,3.08475201935579,6.15218770596346
"NETO2",73.9403811320467,2.4531657729143,0.607141730023299,4.04051583280259,5.33337641162539e-05,0.000569686130082534,5.81443723126654,5.83027180344835,1.07498934007853,0.798985416358891
"NEXN",111.098717144744,-3.20144141164734,0.55066445030453,-5.81377898986737,6.10780428150308e-09,1.45545829912336e-07,0.982721785566176,1.05136048914642,6.30972003959139,10.4267596834835
"NF2",829.585896708298,1.15147822049812,0.347176935119387,3.31668986046596,0.000910906721263919,0.00669075474297422,63.7131290975404,43.3447256207185,19.6302401231732,22.9708307203181
"NFATC2",107.946699757775,4.68589718231347,0.662379871795853,7.07433510865752,1.50167004335119e-12,6.43655121456856e-11,11.6288744625331,7.83741455545516,0.186954667839745,0.479391249815334
"NFE2L3",828.16516340099,3.50974320433708,0.387319595287631,9.06162055067387,1.28526618787556e-19,1.22291710471904e-17,80.5831864164264,61.6957450676378,6.4499360404712,4.47431833160979
"NFYB",2062.60227756807,-1.41759135521617,0.294760870711256,-4.80929287457841,1.51465149500335e-06,2.37389771693515e-05,51.4700535190284,53.2370720413234,123.577035442071,123.523145369085
"NID1",1667.08962895679,1.07789867630895,0.31701747268192,3.40012387074469,0.000673553323817689,0.00519631477420248,119.236909982029,92.1851992528841,45.1028136163385,43.0253646709263
"NIPAL1",470.75075506468,-1.95917304626246,0.520388287276517,-3.76482925185713,0.000166662930028959,0.0015524784105592,8.18934821305146,9.74897908117593,15.5639760976588,47.9790742523514
"NLRP2",4469.3084663277,1.22869704354959,0.298405573524908,4.11754053061287,3.82937198535025e-05,0.000420416158391644,315.248959461416,269.721754579201,93.8512432555519,128.237159325602
"NLRP7",154.370054102352,4.09455031416044,0.651858678284601,6.28134663319273,3.35652817097321e-10,9.9847410070458e-09,14.2494658907095,12.9986387749012,0.233693334799681,1.19847812453834
"NLRP9",40.6228644389179,-5.38655789508061,1.02896421158211,-5.23493221090592,1.65045426797238e-07,3.10553919482714e-06,0.0818934821305146,0.0955782262860385,3.50540002199522,2.99619531134584
"NLRX1",101.198590434489,-1.88643384600562,0.51759455350683,-3.64461687864482,0.000267790418792496,0.00232535680163115,2.25207075858915,1.76819718629171,6.49667470743113,6.63157895577879
"NME1",1864.39804096722,1.31055882180597,0.336953074942603,3.8894401602633,0.000100475739041763,0.00100746077353086,104.250402752145,142.698291845055,44.7756429476189,43.3449588374698
"NME4",132.490372429196,-1.71669130260719,0.484713768935414,-3.54165986738439,0.000397617830323007,0.00329693498863625,2.98911209776378,2.77176856229512,9.1607787241475,7.47051364295563
"NMNAT2",1380.09900743375,1.82798205909086,0.321549169779098,5.68492234126019,1.30872115756186e-08,2.94100553598827e-07,95.4059066820495,105.136048914642,26.407346832364,23.3703234284976
"NOL7",1077.68649285012,1.21956470497539,0.320288180892506,3.80771061104092,0.00014025927124979,0.00133739757149054,68.9952586949586,71.5403023750998,22.3410828068495,31.4800254045403
"NOTCH3",258.888526981981,3.09662925575773,0.518190597277661,5.97584995178612,2.28893608612535e-09,5.82701452209822e-08,21.8246129877821,21.3617335749296,3.03801335239585,1.35827520781011
"NOTUM",10744.8305547494,-8.84321490109658,0.643171343020467,-13.7493919731669,5.1359339009661e-43,2.75614756861445e-40,2.25207075858915,2.10272097829285,253.604006924614,1590.18072490828
"NPHP1",56.1177691942562,5.29487894824777,1.03701462642267,5.1058864680754,3.29247334293311e-07,5.81991211935014e-06,6.51053182937591,3.7275508251555,0.233693334799681,0
"NPPB",143.944986075941,4.81091858286194,0.676801553819781,7.10831491994919,1.17468285133482e-12,5.11673543295713e-11,11.5879277214678,14.2411557166197,0.654341337439107,0.159797083271778
